,fold,k,distance,votes,weighting,acc,corr,incorr,time
80,0,1,euclidean,idw,information_gain,0.3918918918918919,58,90,11.173766851425171
81,1,1,euclidean,idw,information_gain,0.4489795918367347,66,81,11.220134258270264
82,2,1,euclidean,idw,information_gain,0.4594594594594595,68,80,12.313873529434204
83,3,1,euclidean,idw,information_gain,0.4827586206896552,70,75,11.348076581954956
84,4,1,euclidean,idw,information_gain,0.3945578231292517,58,89,11.626522541046143
85,5,1,euclidean,idw,information_gain,0.47619047619047616,70,77,11.548211574554443
86,6,1,euclidean,idw,information_gain,0.4228187919463087,63,86,11.282618045806885
87,7,1,euclidean,idw,information_gain,0.4013605442176871,59,88,11.581012725830078
88,8,1,euclidean,idw,information_gain,0.4965986394557823,73,74,11.22102427482605
89,9,1,euclidean,idw,information_gain,0.5067567567567568,75,73,11.235988140106201
90,0,1,manhattan,majority,equal,0.39864864864864863,59,89,11.064628601074219
91,1,1,manhattan,majority,equal,0.42857142857142855,63,84,11.611799478530884
92,2,1,manhattan,majority,equal,0.43243243243243246,64,84,11.329529047012329
93,3,1,manhattan,majority,equal,0.5172413793103449,75,70,10.970853805541992
94,4,1,manhattan,majority,equal,0.4489795918367347,66,81,10.924184560775757
95,5,1,manhattan,majority,equal,0.46938775510204084,69,78,11.3463716506958
96,6,1,manhattan,majority,equal,0.4697986577181208,70,79,11.454356908798218
97,7,1,manhattan,majority,equal,0.42857142857142855,63,84,11.51781415939331
98,8,1,manhattan,majority,equal,0.46938775510204084,69,78,11.173225164413452
99,9,1,manhattan,majority,equal,0.4864864864864865,72,76,11.159945487976074
100,0,1,manhattan,majority,correlation,0.3716216216216216,55,93,11.053800106048584
101,1,1,manhattan,majority,correlation,0.43537414965986393,64,83,10.81381630897522
102,2,1,manhattan,majority,correlation,0.38513513513513514,57,91,11.142487287521362
103,3,1,manhattan,majority,correlation,0.46206896551724136,67,78,11.143169403076172
104,4,1,manhattan,majority,correlation,0.43537414965986393,64,83,11.252403736114502
105,5,1,manhattan,majority,correlation,0.4557823129251701,67,80,11.4228675365448
106,6,1,manhattan,majority,correlation,0.46308724832214765,69,80,11.3146653175354
107,7,1,manhattan,majority,correlation,0.4217687074829932,62,85,11.76815414428711
108,8,1,manhattan,majority,correlation,0.48299319727891155,71,76,11.016942739486694
109,9,1,manhattan,majority,correlation,0.4797297297297297,71,77,11.173209428787231
110,0,1,manhattan,majority,information_gain,0.3918918918918919,58,90,11.236705780029297
111,1,1,manhattan,majority,information_gain,0.46938775510204084,69,78,11.221124649047852
112,2,1,manhattan,majority,information_gain,0.43243243243243246,64,84,11.111186265945435
113,3,1,manhattan,majority,information_gain,0.5103448275862069,74,71,11.204532861709595
114,4,1,manhattan,majority,information_gain,0.47619047619047616,70,77,10.907673597335815
115,5,1,manhattan,majority,information_gain,0.47619047619047616,70,77,11.11303997039795
116,6,1,manhattan,majority,information_gain,0.5033557046979866,75,74,11.454453706741333
117,7,1,manhattan,majority,information_gain,0.43537414965986393,64,83,10.985678434371948
118,8,1,manhattan,majority,information_gain,0.46938775510204084,69,78,11.438964605331421
