,acc,corr,incorr,time
0,0.44801363922665216,66.0,81.3,9.694465470314025
1,0.4406319011651772,64.9,82.4,10.807059288024902
2,0.48204154796891274,71.0,76.3,10.532360005378724
3,0.44801363922665216,66.0,81.3,9.42223117351532
4,0.4406319011651772,64.9,82.4,9.62073540687561
5,0.4589805538858337,67.6,79.7,9.953526329994201
6,0.44801363922665216,66.0,81.3,9.942908430099488
7,0.4406319011651772,64.9,82.4,9.755232691764832
8,0.4407282513823659,64.9,82.4,10.677319002151489
9,0.45495055637797066,67.0,80.3,10.658127975463866
10,0.43929352173326774,64.7,82.6,10.674057984352112
11,0.4651310852530807,68.5,78.8,10.811344766616822
12,0.45495055637797066,67.0,80.3,11.055003118515014
13,0.43929352173326774,64.7,82.6,11.266522192955017
14,0.4590227493763381,67.6,79.7,11.147176480293274
15,0.45495055637797066,67.0,80.3,11.380753374099731
16,0.43929352173326774,64.7,82.6,11.283338117599488
17,0.48061129646476947,70.8,76.5,11.245790314674377
18,0.4480317113679099,66.0,81.3,13.47230155467987
19,0.4432976370993364,65.3,82.0,13.381954026222228
20,0.4549135896094271,67.0,80.3,13.461701726913452
21,0.4480317113679099,66.0,81.3,13.579360938072204
22,0.4432976370993364,65.3,82.0,13.823352551460266
23,0.46032749389528577,67.8,79.5,14.262790489196778
24,0.4480317113679099,66.0,81.3,13.477113747596741
25,0.4432976370993364,65.3,82.0,14.817575645446777
26,0.4576426063335509,67.4,79.9,14.201607394218446
27,0.45686133608919344,67.3,80.0,11.337080335617065
28,0.4548346226535799,67.0,80.3,11.519153499603272
29,0.4393304268047218,64.7,82.6,15.498605251312256
30,0.45554707490056445,67.1,80.2,21.656679821014404
31,0.4548346226535799,67.0,80.3,16.022950959205627
32,0.45632520859254083,67.2,80.1,14.12736189365387
33,0.4569169404847323,67.3,80.0,16.554945158958436
34,0.4555427303617206,67.1,80.2,14.573144960403443
35,0.46169207416636915,68.0,79.3,14.779043483734132
36,0.4622894100690246,68.1,79.2,13.740763640403747
37,0.45885636806934793,67.6,79.7,12.361104106903076
38,0.4712531640501356,69.4,77.9,12.85303499698639
39,0.45689338772718946,67.3,80.0,12.332582330703735
40,0.45885636806934793,67.6,79.7,12.288982796669007
41,0.46908344207977226,69.1,78.2,12.237446427345276
42,0.46096652149979755,67.9,79.4,12.625226402282715
43,0.4568610790889034,67.3,80.0,12.334142637252807
44,0.4767474798547301,70.2,77.1,12.350808215141296
45,0.46156795515293875,68.0,79.3,14.46661355495453
46,0.4561393722784935,67.2,80.1,14.670431065559388
47,0.4631169169632489,68.2,79.1,14.607055282592773
48,0.46156795515293875,68.0,79.3,14.973885250091552
49,0.4561393722784935,67.2,80.1,14.676627039909363
