,acc,corr,incorr,time
0,0.8316534356194488,122.5,24.8,8.121504068374634
1,0.8404425715193726,123.8,23.5,8.028234243392944
2,0.7644584316710478,112.6,34.7,8.03567419052124
3,0.8316534356194488,122.5,24.8,7.968584370613098
4,0.8404425715193726,123.8,23.5,8.095627403259277
5,0.7421012058632318,109.3,38.0,8.013675212860107
6,0.8316534356194488,122.5,24.8,7.970908951759339
7,0.8404425715193726,123.8,23.5,8.086023783683777
8,0.763093923308986,112.4,34.9,8.051829218864441
9,0.8316628803801084,122.5,24.8,7.803213763236999
10,0.8350149396311,123.0,24.3,7.723807072639465
11,0.7433271221384091,109.5,37.8,7.822542810440064
12,0.8316628803801084,122.5,24.8,7.696907949447632
13,0.8350149396311,123.0,24.3,7.849542665481567
14,0.7447528903916314,109.7,37.6,7.704923391342163
15,0.8316628803801084,122.5,24.8,7.831448888778686
16,0.8350149396311,123.0,24.3,7.712108588218689
17,0.702020740519104,103.4,43.9,7.81832799911499
18,0.8186904762968507,120.6,26.7,10.25943570137024
19,0.8295526086614459,122.2,25.1,10.388142490386963
20,0.7494942753398137,110.4,36.9,10.427558445930481
21,0.8186904762968507,120.6,26.7,10.282297348976135
22,0.8295526086614459,122.2,25.1,10.400877594947815
23,0.7564277327736515,111.4,35.9,10.447132563591003
24,0.8186904762968507,120.6,26.7,10.32680082321167
25,0.8295526086614459,122.2,25.1,10.462275624275208
26,0.7571333723854634,111.5,35.8,10.463329482078553
27,0.741391205756432,109.2,38.1,7.8793717384338375
28,0.735958036660751,108.4,38.9,7.996964812278748
29,0.7121325130939309,104.9,42.4,7.907962441444397
30,0.7678813959830257,113.1,34.2,8.056563639640808
31,0.735958036660751,108.4,38.9,7.918121576309204
32,0.6952403795196469,102.4,44.9,8.039754867553711
33,0.8126971231583259,119.7,27.6,7.922442889213562
34,0.8201299976823169,120.8,26.5,8.05216188430786
35,0.7266848511391772,107.0,40.3,7.913429760932923
36,0.7318942808457473,107.8,39.5,7.80717248916626
37,0.7229868303520235,106.5,40.8,7.686472702026367
38,0.6833540865322528,100.7,46.6,7.8246016025543215
39,0.7732908272298955,113.9,33.4,7.733546113967895
40,0.7229868303520235,106.5,40.8,7.860133481025696
41,0.6823685365863102,100.5,46.8,7.746592259407043
42,0.8207311743351682,120.9,26.4,7.864147329330445
43,0.8227091468573267,121.2,26.1,7.7409848928451535
44,0.7078454040284966,104.3,43.0,7.855791902542114
45,0.730464661630397,107.6,39.7,10.291483306884766
46,0.7278079283653389,107.2,40.1,10.428093099594117
47,0.6973366768475374,102.7,44.6,10.42015163898468
48,0.730464661630397,107.6,39.7,10.359986400604248
49,0.7278079283653389,107.2,40.1,10.495458579063415
50,0.6925468079861904,102.0,45.3,10.491895937919617
51,0.8160240514827747,120.2,27.1,10.392422652244568
52,0.8268265485044008,121.8,25.5,10.514285802841187
53,0.762931321055102,112.4,34.9,10.528720116615295
54,0.688980012015189,101.5,45.8,7.934716820716858
55,0.6958475971685546,102.5,44.8,8.060268688201905
56,0.6782203427728605,99.9,47.4,7.912887048721314
57,0.7182144681461969,105.8,41.5,8.091537594795227
58,0.6911037645479078,101.8,45.5,7.987691450119018
59,0.6774429030667666,99.8,47.5,8.120210599899291
60,0.7963326798973309,117.3,30.0,8.106485295295716
61,0.8085740558036985,119.1,28.2,7.9823317527771
62,0.7306067910879958,107.6,39.7,8.140904211997986
63,0.6984764948343155,102.9,44.4,7.736903595924377
64,0.6985419860820726,102.9,44.4,7.83055157661438
65,0.681603250781351,100.4,46.9,7.739943528175354
66,0.7386189191614523,108.8,38.5,7.987174844741821
67,0.6944786774645935,102.3,45.0,7.881611061096192
68,0.6470088702118325,95.3,52.0,7.910120916366577
69,0.8125769733952364,119.7,27.6,8.128993964195251
70,0.8282113343595474,122.0,25.3,8.009354496002198
71,0.7004415526664014,103.2,44.1,7.779599571228028
72,0.6815013016596645,100.4,46.9,10.471377849578857
73,0.6931817327342503,102.1,45.2,10.456292843818664
74,0.6871014124421073,101.2,46.1,10.315977644920348
75,0.6733425710896204,99.2,48.1,10.521233725547791
76,0.685698801234061,101.0,46.3,10.509398937225342
77,0.6613766931117413,97.4,49.9,10.40356457233429
78,0.8187732274117702,120.6,26.7,10.625762319564819
79,0.8268682351002912,121.8,25.5,10.594632720947265
80,0.7753446154758682,114.2,33.1,10.465055012702942
81,0.6435334425244169,94.8,52.5,8.231878399848938
82,0.6496557064127402,95.7,51.6,7.905969357490539
83,0.6380990807601712,94.0,53.3,8.038715624809265
84,0.6768402150479711,99.7,47.6,8.006947445869447
85,0.6428340289999297,94.7,52.6,8.171579003334045
86,0.6299222729429031,92.8,54.5,8.172439360618592
87,0.7875579655857038,116.0,31.3,8.061938381195068
88,0.7929314427472922,116.8,30.5,8.138522291183472
89,0.711488004873134,104.8,42.5,8.095979809761047
90,0.6482813677895836,95.5,51.8,8.155113911628723
91,0.6497177321988047,95.7,51.6,8.00078055858612
92,0.6395255532112081,94.2,53.1,8.058062553405762
93,0.7121134899665001,104.9,42.4,8.33886423110962
94,0.6496992179659884,95.7,51.6,9.211040353775024
