,acc,corr,incorr,time
2,0.43456807995125846,64.0,83.3,10.841122579574584
3,0.44801363922665216,66.0,81.3,10.664577078819274
4,0.4406319011651772,64.9,82.4,11.150370144844056
5,0.4576525136096333,67.4,79.9,11.371159315109253
6,0.44801363922665216,66.0,81.3,11.244165086746216
7,0.4406319011651772,64.9,82.4,11.26367621421814
8,0.44813725955740047,66.0,81.3,11.45512285232544
9,0.45495055637797066,67.0,80.3,11.255270886421204
10,0.43929352173326774,64.7,82.6,11.210151600837708
11,0.46375284418263896,68.3,79.0,11.219223976135254
12,0.45495055637797066,67.0,80.3,11.344387102127076
13,0.43929352173326774,64.7,82.6,11.314895534515381
14,0.46450175940951893,68.4,78.9,11.253408575057984
15,0.45495055637797066,67.0,80.3,11.860903978347778
16,0.43929352173326774,64.7,82.6,11.70869176387787
17,0.45699470966604894,67.3,80.0,11.305921030044555
18,0.4480317113679099,66.0,81.3,14.281561017036438
19,0.4432976370993364,65.3,82.0,14.355147314071655
20,0.44073775784011504,64.9,82.4,13.641263294219971
21,0.4480317113679099,66.0,81.3,13.828952550888062
22,0.4432976370993364,65.3,82.0,20.949311995506285
23,0.44191669199438566,65.1,82.2,23.42583351135254
24,0.4480317113679099,66.0,81.3,16.83297049999237
25,0.4432976370993364,65.3,82.0,19.495947813987733
26,0.467039165397515,68.8,78.5,17.286480712890626
27,0.45686133608919344,67.3,80.0,14.321314644813537
28,0.4548346226535799,67.0,80.3,13.731438541412354
29,0.46032365314509,67.8,79.5,12.287260723114013
30,0.45554707490056445,67.1,80.2,12.944044613838196
31,0.4548346226535799,67.0,80.3,12.334332466125488
32,0.45889755598255616,67.6,79.7,12.369125056266785
33,0.4569169404847323,67.3,80.0,12.384333777427674
34,0.4555427303617206,67.1,80.2,12.82148904800415
35,0.4794139663658955,70.6,76.7,12.284725689888
36,0.4622894100690246,68.1,79.2,12.292653489112855
37,0.45885636806934793,67.6,79.7,11.923469471931458
38,0.4549316051595616,67.0,80.3,12.198498129844666
39,0.45689338772718946,67.3,80.0,12.316961693763734
40,0.45885636806934793,67.6,79.7,12.172660231590271
41,0.46639491417700824,68.7,78.6,12.32431447505951
42,0.46096652149979755,67.9,79.4,12.334232640266418
43,0.4568610790889034,67.3,80.0,12.26169753074646
44,0.46304058213288873,68.2,79.1,12.231116104125977
45,0.46156795515293875,68.0,79.3,14.450948119163513
46,0.4561393722784935,67.2,80.1,14.544030404090881
47,0.46503442655044464,68.5,78.8,14.545369124412536
48,0.46156795515293875,68.0,79.3,14.747084212303161
49,0.4561393722784935,67.2,80.1,14.62485339641571
50,0.4636962373157698,68.3,79.0,14.50533378124237
51,0.45960125234879756,67.7,79.6,14.463300013542176
52,0.44670793861556585,65.8,81.5,14.610405993461608
53,0.46976856251610777,69.2,78.1,14.587241935729981
54,0.46217360995074486,68.1,79.2,12.326235842704772
55,0.4691064910486672,69.1,78.2,12.007852244377137
56,0.46922739649472883,69.1,78.2,12.17292492389679
57,0.466273566639388,68.7,78.6,12.264972114562989
58,0.4717721652857369,69.5,77.8,12.235093522071839
59,0.5016691298697779,73.9,73.4,12.308256340026855
60,0.4690186448178976,69.1,78.2,12.211966872215271
61,0.4650664781884407,68.5,78.8,12.431883764266967
62,0.4969331740527231,73.2,74.1,12.380817031860351
63,0.47450691962643565,69.9,77.4,12.293116140365601
64,0.4778209994256214,70.4,76.9,12.21336772441864
65,0.49429558220330866,72.8,74.5,12.07992069721222
66,0.467726738612281,68.9,78.4,12.38719446659088
