,fold,k,distance,votes,weighting,acc,corr,incorr,time
0,0,1,euclidean,majority,equal,0.3716216216216216,55,93,9.74842619895935
1,1,1,euclidean,majority,equal,0.43537414965986393,64,83,9.587344884872437
2,2,1,euclidean,majority,equal,0.4594594594594595,68,80,9.625885725021362
3,3,1,euclidean,majority,equal,0.4689655172413793,68,77,9.426409721374512
4,4,1,euclidean,majority,equal,0.41496598639455784,61,86,9.507790803909302
5,5,1,euclidean,majority,equal,0.43537414965986393,64,83,9.729278087615967
6,6,1,euclidean,majority,equal,0.5167785234899329,77,72,9.669342756271362
7,7,1,euclidean,majority,equal,0.43537414965986393,64,83,9.481678247451782
8,8,1,euclidean,majority,equal,0.4489795918367347,66,81,10.07160758972168
9,9,1,euclidean,majority,equal,0.49324324324324326,73,75,10.096890687942505
10,0,1,euclidean,majority,correlation,0.3581081081081081,53,95,10.025537014007568
11,1,1,euclidean,majority,correlation,0.40816326530612246,60,87,9.534578323364258
12,2,1,euclidean,majority,correlation,0.4189189189189189,62,86,9.895427227020264
13,3,1,euclidean,majority,correlation,0.4827586206896552,70,75,10.351171493530273
14,4,1,euclidean,majority,correlation,0.4217687074829932,62,85,10.375335931777954
15,5,1,euclidean,majority,correlation,0.4557823129251701,67,80,10.654213905334473
16,6,1,euclidean,majority,correlation,0.4899328859060403,73,76,11.23721694946289
17,7,1,euclidean,majority,correlation,0.41496598639455784,61,86,10.657766342163086
18,8,1,euclidean,majority,correlation,0.47619047619047616,70,77,12.437851428985596
19,9,1,euclidean,majority,correlation,0.4797297297297297,71,77,12.901494264602661
20,0,1,euclidean,majority,information_gain,0.36486486486486486,54,94,11.237632751464844
21,1,1,euclidean,majority,information_gain,0.47619047619047616,70,77,11.40812063217163
22,2,1,euclidean,majority,information_gain,0.47297297297297297,70,78,11.345019340515137
23,3,1,euclidean,majority,information_gain,0.496551724137931,72,73,11.194591760635376
24,4,1,euclidean,majority,information_gain,0.4489795918367347,66,81,11.174442768096924
25,5,1,euclidean,majority,information_gain,0.5374149659863946,79,68,10.985768795013428
26,6,1,euclidean,majority,information_gain,0.4899328859060403,73,76,10.048655271530151
27,7,1,euclidean,majority,information_gain,0.47619047619047616,70,77,9.595016241073608
28,8,1,euclidean,majority,information_gain,0.48299319727891155,71,76,9.067439556121826
29,9,1,euclidean,majority,information_gain,0.5743243243243243,85,63,9.266912937164307
30,0,1,euclidean,sheppard,equal,0.3716216216216216,55,93,9.42331337928772
31,1,1,euclidean,sheppard,equal,0.43537414965986393,64,83,9.330009460449219
32,2,1,euclidean,sheppard,equal,0.4594594594594595,68,80,9.54822850227356
33,3,1,euclidean,sheppard,equal,0.4689655172413793,68,77,9.236479759216309
34,4,1,euclidean,sheppard,equal,0.41496598639455784,61,86,9.391997575759888
35,5,1,euclidean,sheppard,equal,0.43537414965986393,64,83,9.940628051757812
36,6,1,euclidean,sheppard,equal,0.5167785234899329,77,72,9.532234907150269
37,7,1,euclidean,sheppard,equal,0.43537414965986393,64,83,9.142255067825317
38,8,1,euclidean,sheppard,equal,0.4489795918367347,66,81,9.268946647644043
