,fold,k,distance,votes,weighting,acc,corr,incorr,time
75,5,1,euclidean,idw,correlation,0.98989898989899,98,1,3.7397584915161133
76,6,1,euclidean,idw,correlation,0.9696969696969697,96,3,3.715770721435547
77,7,1,euclidean,idw,correlation,1.0,99,0,3.6798858642578125
78,8,1,euclidean,idw,correlation,1.0,99,0,3.6632704734802246
79,9,1,euclidean,idw,correlation,1.0,99,0,3.6936206817626953
80,0,1,euclidean,idw,information_gain,1.0,99,0,3.783060073852539
81,1,1,euclidean,idw,information_gain,0.98989898989899,98,1,3.789308786392212
82,2,1,euclidean,idw,information_gain,1.0,99,0,3.9508790969848633
83,3,1,euclidean,idw,information_gain,0.98989898989899,98,1,3.6978344917297363
84,4,1,euclidean,idw,information_gain,1.0,99,0,3.667842388153076
85,5,1,euclidean,idw,information_gain,0.9797979797979798,97,2,4.945890665054321
86,6,1,euclidean,idw,information_gain,0.98989898989899,98,1,3.786999225616455
87,7,1,euclidean,idw,information_gain,1.0,99,0,3.7689642906188965
88,8,1,euclidean,idw,information_gain,1.0,99,0,3.7433154582977295
89,9,1,euclidean,idw,information_gain,1.0,99,0,3.929825782775879
90,0,1,manhattan,majority,equal,0.98989898989899,98,1,4.1531946659088135
91,1,1,manhattan,majority,equal,0.98989898989899,98,1,3.720182418823242
92,2,1,manhattan,majority,equal,1.0,99,0,3.6764204502105713
93,3,1,manhattan,majority,equal,1.0,99,0,3.659943103790283
94,4,1,manhattan,majority,equal,1.0,99,0,4.008913040161133
95,5,1,manhattan,majority,equal,0.9696969696969697,96,3,4.086863279342651
96,6,1,manhattan,majority,equal,1.0,99,0,3.990817070007324
97,7,1,manhattan,majority,equal,0.9797979797979798,97,2,4.068307876586914
98,8,1,manhattan,majority,equal,0.98989898989899,98,1,3.88667368888855
99,9,1,manhattan,majority,equal,1.0,99,0,3.6877028942108154
100,0,1,manhattan,majority,correlation,0.98989898989899,98,1,3.6233866214752197
101,1,1,manhattan,majority,correlation,0.98989898989899,98,1,3.653430938720703
102,2,1,manhattan,majority,correlation,0.9494949494949495,94,5,3.8168108463287354
103,3,1,manhattan,majority,correlation,1.0,99,0,3.7315287590026855
104,4,1,manhattan,majority,correlation,1.0,99,0,3.50412917137146
105,5,1,manhattan,majority,correlation,1.0,99,0,3.6532058715820312
106,6,1,manhattan,majority,correlation,0.9393939393939394,93,6,3.771432876586914
107,7,1,manhattan,majority,correlation,1.0,99,0,3.5647268295288086
108,8,1,manhattan,majority,correlation,0.9797979797979798,97,2,3.567537784576416
109,9,1,manhattan,majority,correlation,1.0,99,0,3.5346999168395996
110,0,1,manhattan,majority,information_gain,1.0,99,0,3.491133451461792
111,1,1,manhattan,majority,information_gain,0.98989898989899,98,1,3.535085678100586
112,2,1,manhattan,majority,information_gain,0.9797979797979798,97,2,3.814772605895996
113,3,1,manhattan,majority,information_gain,1.0,99,0,3.693598508834839
114,4,1,manhattan,majority,information_gain,1.0,99,0,3.5017199516296387
115,5,1,manhattan,majority,information_gain,0.9797979797979798,97,2,3.4859776496887207
116,6,1,manhattan,majority,information_gain,0.9696969696969697,96,3,3.5066580772399902
117,7,1,manhattan,majority,information_gain,0.98989898989899,98,1,3.6138429641723633
118,8,1,manhattan,majority,information_gain,1.0,99,0,3.5811259746551514
119,9,1,manhattan,majority,information_gain,1.0,99,0,3.549278974533081
120,0,1,manhattan,sheppard,equal,0.98989898989899,98,1,3.8078393936157227
121,1,1,manhattan,sheppard,equal,0.98989898989899,98,1,4.4814839363098145
122,2,1,manhattan,sheppard,equal,1.0,99,0,3.539703607559204
123,3,1,manhattan,sheppard,equal,1.0,99,0,3.5767476558685303
124,4,1,manhattan,sheppard,equal,1.0,99,0,3.561999797821045
125,5,1,manhattan,sheppard,equal,0.9696969696969697,96,3,3.6485891342163086
126,6,1,manhattan,sheppard,equal,1.0,99,0,3.533449411392212
127,7,1,manhattan,sheppard,equal,0.9797979797979798,97,2,3.5767104625701904
128,8,1,manhattan,sheppard,equal,0.98989898989899,98,1,3.5820014476776123
129,9,1,manhattan,sheppard,equal,1.0,99,0,3.7486720085144043
130,0,1,manhattan,sheppard,correlation,0.98989898989899,98,1,3.538377285003662
131,1,1,manhattan,sheppard,correlation,0.98989898989899,98,1,3.6059110164642334
132,2,1,manhattan,sheppard,correlation,0.9494949494949495,94,5,3.610323667526245
133,3,1,manhattan,sheppard,correlation,1.0,99,0,3.7305400371551514
134,4,1,manhattan,sheppard,correlation,1.0,99,0,3.5790839195251465
135,5,1,manhattan,sheppard,correlation,1.0,99,0,3.526167869567871
136,6,1,manhattan,sheppard,correlation,0.9393939393939394,93,6,3.5825421810150146
137,7,1,manhattan,sheppard,correlation,1.0,99,0,3.8910272121429443
138,8,1,manhattan,sheppard,correlation,0.9797979797979798,97,2,3.863983392715454
139,9,1,manhattan,sheppard,correlation,1.0,99,0,3.660245895385742
140,0,1,manhattan,sheppard,information_gain,1.0,99,0,3.604177236557007
141,1,1,manhattan,sheppard,information_gain,0.98989898989899,98,1,3.5973381996154785
142,2,1,manhattan,sheppard,information_gain,0.9797979797979798,97,2,3.657504081726074
143,3,1,manhattan,sheppard,information_gain,1.0,99,0,3.500833034515381
144,4,1,manhattan,sheppard,information_gain,1.0,99,0,3.6484038829803467
145,5,1,manhattan,sheppard,information_gain,0.98989898989899,98,1,4.212665796279907
146,6,1,manhattan,sheppard,information_gain,0.9696969696969697,96,3,3.823929786682129
147,7,1,manhattan,sheppard,information_gain,0.98989898989899,98,1,3.4986724853515625
148,8,1,manhattan,sheppard,information_gain,1.0,99,0,3.5454392433166504
149,9,1,manhattan,sheppard,information_gain,1.0,99,0,3.52545428276062
150,0,1,manhattan,idw,equal,0.98989898989899,98,1,3.9075984954833984
151,1,1,manhattan,idw,equal,0.98989898989899,98,1,3.663849115371704
152,2,1,manhattan,idw,equal,1.0,99,0,3.564378023147583
153,3,1,manhattan,idw,equal,1.0,99,0,3.542320489883423
154,4,1,manhattan,idw,equal,1.0,99,0,3.689434051513672
155,5,1,manhattan,idw,equal,0.9696969696969697,96,3,3.607600450515747
156,6,1,manhattan,idw,equal,1.0,99,0,4.746466636657715
157,7,1,manhattan,idw,equal,0.9797979797979798,97,2,3.5719008445739746
158,8,1,manhattan,idw,equal,0.98989898989899,98,1,3.8161346912384033
159,9,1,manhattan,idw,equal,1.0,99,0,3.7498133182525635
160,0,1,manhattan,idw,correlation,0.98989898989899,98,1,3.548774003982544
161,1,1,manhattan,idw,correlation,0.98989898989899,98,1,3.5247273445129395
162,2,1,manhattan,idw,correlation,0.9494949494949495,94,5,3.6154942512512207
163,3,1,manhattan,idw,correlation,1.0,99,0,3.531493663787842
164,4,1,manhattan,idw,correlation,1.0,99,0,3.690497875213623
165,5,1,manhattan,idw,correlation,1.0,99,0,3.89007568359375
166,6,1,manhattan,idw,correlation,0.9393939393939394,93,6,3.628019332885742
167,7,1,manhattan,idw,correlation,1.0,99,0,3.6208996772766113
168,8,1,manhattan,idw,correlation,0.9797979797979798,97,2,3.709566354751587
169,9,1,manhattan,idw,correlation,1.0,99,0,3.9850893020629883
170,0,1,manhattan,idw,information_gain,1.0,99,0,3.7556424140930176
171,1,1,manhattan,idw,information_gain,0.98989898989899,98,1,3.746267080307007
172,2,1,manhattan,idw,information_gain,0.9797979797979798,97,2,3.779762029647827
173,3,1,manhattan,idw,information_gain,1.0,99,0,3.8388068675994873
174,4,1,manhattan,idw,information_gain,1.0,99,0,3.809596061706543
175,5,1,manhattan,idw,information_gain,0.98989898989899,98,1,3.855438470840454
176,6,1,manhattan,idw,information_gain,0.9696969696969697,96,3,3.9506354331970215
177,7,1,manhattan,idw,information_gain,1.0,99,0,3.8566112518310547
178,8,1,manhattan,idw,information_gain,1.0,99,0,3.778148889541626
179,9,1,manhattan,idw,information_gain,1.0,99,0,3.9575254917144775
180,0,1,cosine,majority,equal,1.0,99,0,4.9954845905303955
181,1,1,cosine,majority,equal,1.0,99,0,4.989464521408081
182,2,1,cosine,majority,equal,1.0,99,0,4.972235441207886
183,3,1,cosine,majority,equal,1.0,99,0,4.940876007080078
184,4,1,cosine,majority,equal,1.0,99,0,5.026020288467407
185,5,1,cosine,majority,equal,0.9696969696969697,96,3,5.084566354751587
186,6,1,cosine,majority,equal,1.0,99,0,5.111328363418579
187,7,1,cosine,majority,equal,1.0,99,0,4.877963066101074
188,8,1,cosine,majority,equal,1.0,99,0,6.31460976600647
189,9,1,cosine,majority,equal,1.0,99,0,4.995871305465698
190,0,1,cosine,majority,correlation,1.0,99,0,4.775690317153931
191,1,1,cosine,majority,correlation,1.0,99,0,4.888556957244873
192,2,1,cosine,majority,correlation,0.98989898989899,98,1,5.097785234451294
193,3,1,cosine,majority,correlation,1.0,99,0,4.950013160705566
194,4,1,cosine,majority,correlation,1.0,99,0,4.965805530548096
195,5,1,cosine,majority,correlation,1.0,99,0,4.9129204750061035
196,6,1,cosine,majority,correlation,0.98989898989899,98,1,4.930504560470581
197,7,1,cosine,majority,correlation,1.0,99,0,4.893042802810669
198,8,1,cosine,majority,correlation,1.0,99,0,4.910564422607422
199,9,1,cosine,majority,correlation,1.0,99,0,4.939755201339722
200,0,1,cosine,majority,information_gain,1.0,99,0,5.163721084594727
201,1,1,cosine,majority,information_gain,1.0,99,0,4.928717374801636
202,2,1,cosine,majority,information_gain,1.0,99,0,4.974388837814331
203,3,1,cosine,majority,information_gain,0.98989898989899,98,1,5.263468265533447
204,4,1,cosine,majority,information_gain,1.0,99,0,4.880132675170898
205,5,1,cosine,majority,information_gain,1.0,99,0,4.607218265533447
206,6,1,cosine,majority,information_gain,1.0,99,0,4.693861484527588
207,7,1,cosine,majority,information_gain,1.0,99,0,4.91905403137207
208,8,1,cosine,majority,information_gain,1.0,99,0,4.984320402145386
209,9,1,cosine,majority,information_gain,1.0,99,0,4.866420745849609
210,0,1,cosine,sheppard,equal,1.0,99,0,4.756241083145142
211,1,1,cosine,sheppard,equal,1.0,99,0,4.793815612792969
212,2,1,cosine,sheppard,equal,1.0,99,0,4.6812567710876465
